disease,input,symptoms
Dementia,"This guide has information for people with dementia and their families and friends.
Find out what dementia is, including what causes it, if it can be prevented and how it's treated Symptoms: - memory loss - difficulty concentrating - finding it hard to carry out familiar daily tasks, such as getting confused over the correct change when shopping - struggling to follow a conversation or find the right word - being confused about time and place - mood changes","- memory loss - difficulty concentrating - finding it hard to carry out familiar daily tasks, such as getting confused over the correct change when shopping - struggling to follow a conversation or find the right word - being confused about time and place - mood changes"
Anal cancer,"Find out about anal cancer, including common symptoms and treatments. Symptoms: - bleeding from your bottom - itching andpain around your anus - small lumps around and inside your bottom - a discharge of mucus from your bottom - having problems controlling when you poo (bowel incontinence) - needing to poo often with looser, runnier poos","- bleeding from your bottom - itching andpain around your anus - small lumps around and inside your bottom - a discharge of mucus from your bottom - having problems controlling when you poo (bowel incontinence) - needing to poo often with looser, runnier poos"
Alcohol poisoning,"Alcohol poisoning can happen when you drink alcohol quicker than your body can process it. It can make you seriously ill and you may need to go to hospital for treatment.
Symptoms start after drinking a lot of alcohol and may include: Symptoms: - confusion - slurring words or being unable to speak - being unable to coordinate movement, for example, being unable to stand, walk, or pick things up - being sick - peeing or pooing yourself - pale or blue-tinged skin - on black or brown skin this may be easier to see inside the lips, on the gums and under the fingernails - slow or irregular breathing - having a seizure or fit - loss of consciousness","- confusion - slurring words or being unable to speak - being unable to coordinate movement, for example, being unable to stand, walk, or pick things up - being sick - peeing or pooing yourself - pale or blue-tinged skin - on black or brown skin this may be easier to see inside the lips, on the gums and under the fingernails - slow or irregular breathing - having a seizure or fit - loss of consciousness"
Abdominal aortic aneurysm (AAA) screening,"Abdominal aortic aneurysm (AAA) screening is a test to check if there's a swelling in your aorta, which is the main blood vessel that carries blood from the heart to the tummy (abdomen).
AAA screening is offered to all men over the age of 64. Anyone assigned male at birth who is over the age of 64 can have it.",
Abdominal aortic aneurysm,"An abdominal aortic aneurysm (AAA) is a swelling in the aorta, the artery that carries blood from the heart to the tummy (abdomen). Most aneurysms do not cause any problems, but they can be serious because there's a risk they could burst (rupture).
Abdominal aortic aneurysm often has no symptoms. Symptoms: - tummy or back pain - a pulsing feeling in your tummy",- tummy or back pain - a pulsing feeling in your tummy
Abortion,"Find out what an abortion is, how to prepare for it and what it involves.",
Acanthosis nigricans,"Acanthosis nigricans is the name for dry, dark patches of skin that usually appear in the armpits, neck or groin. It could be a sign of an underlying condition, so it needs to be checked by a GP.
The main symptom of acanthosis nigricans is patches of skin that are darker and thicker than usual.",
Achalasia,"Achalasia is a rare disorder of the food pipe (oesophagus), which can make it difficult to swallow food and drink.
Normally, the muscles of the oesophagus contract to squeeze food along towards the stomach. A ring of muscle at the end of the food pipe then relaxes to let food into the stomach. Symptoms: - bringing back up undigested food - choking and coughing fits - heartburn - chest pain - repeatedchest infections - drooling of vomit or saliva - gradual but significantweight loss",- bringing back up undigested food - choking and coughing fits - heartburn - chest pain - repeatedchest infections - drooling of vomit or saliva - gradual but significantweight loss
Acid and chemical burns,"Get medical advice as soon as possible if you think you have an acid or chemical burn. You'll need to be treated as soon as possible.
Acid or chemical burns can happen when a harmful acid or chemical gets on your skin, or in your eyes.",
Reflux in babies,"Reflux is when a baby brings up milk, or is sick, during or shortly after feeding. It's very common and usually gets better on its own.
Reflux usually starts before a baby is 8 weeks old and gets better by the time they're 1. Symptoms: - bringing up milk or being sick during or shortly after feeding - coughing or hiccupping when feeding - being unsettled during feeding - swallowing or gulping after burping or feeding - crying and not settling - not gaining weight as they're not keeping enough food down",- bringing up milk or being sick during or shortly after feeding - coughing or hiccupping when feeding - being unsettled during feeding - swallowing or gulping after burping or feeding - crying and not settling - not gaining weight as they're not keeping enough food down
